Num_Acc,place,catu,grav,sexe,trajet,secu,locp,actp,etatp,an_nais,num_veh
201400026162,1.0,1,4,1,5.0,93.0,0.0,0.0,0.0,1981.0,B01
200800064120,1.0,1,3,2,0.0,11.0,0.0,0.0,0.0,1986.0,A01
200700075509,1.0,1,3,1,5.0,11.0,0.0,0.0,0.0,1936.0,B02
201300008667,1.0,1,3,1,3.0,21.0,0.0,0.0,0.0,1988.0,A01
201400007316,1.0,1,3,1,1.0,21.0,0.0,0.0,0.0,1974.0,B02
200700002325,1.0,1,4,1,0.0,21.0,0.0,0.0,0.0,1976.0,A01
201300004730,2.0,2,1,1,5.0,11.0,0.0,0.0,0.0,1984.0,A01
201200016040,,3,4,2,0.0,93.0,2.0,3.0,2.0,1976.0,A01
200900064207,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1982.0,A01
200700014849,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1974.0,A01
201600010431,1.0,1,4,1,5.0,93.0,0.0,0.0,0.0,1968.0,B01
201400010748,4.0,2,2,2,0.0,13.0,0.0,0.0,0.0,1938.0,B01
200800026231,1.0,1,1,1,0.0,11.0,0.0,0.0,0.0,1978.0,A01
201300044083,5.0,2,4,2,5.0,21.0,0.0,0.0,0.0,1993.0,B01
201400004423,1.0,1,3,1,5.0,21.0,0.0,0.0,0.0,1997.0,A01
201200018187,1.0,1,1,1,1.0,11.0,0.0,0.0,0.0,1978.0,B02
201000043441,2.0,2,1,1,3.0,11.0,0.0,0.0,0.0,1991.0,A01
200800055765,1.0,1,4,1,5.0,11.0,0.0,0.0,0.0,1987.0,A01
201600038827,,3,4,1,5.0,93.0,3.0,5.0,1.0,1990.0,A01
200500043074,2.0,2,4,2,0.0,11.0,0.0,0.0,0.0,1971.0,B02
201400054444,2.0,2,4,2,5.0,21.0,0.0,0.0,0.0,1982.0,B01
200500022916,5.0,2,1,2,0.0,11.0,0.0,0.0,0.0,1995.0,B02
201300043699,1.0,1,1,2,0.0,11.0,0.0,0.0,0.0,1971.0,B01
201600045852,1.0,1,1,1,9.0,11.0,0.0,0.0,0.0,1985.0,B01
201400011467,2.0,2,4,2,5.0,11.0,0.0,0.0,0.0,1958.0,A01
201100033934,1.0,1,4,1,1.0,11.0,0.0,0.0,0.0,1990.0,A01
200700035302,4.0,2,4,1,0.0,31.0,0.0,0.0,0.0,2006.0,B01
200500013828,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1923.0,C03
201200047105,1.0,1,4,2,0.0,11.0,0.0,0.0,0.0,1952.0,B01
200600000083,1.0,1,3,1,5.0,21.0,0.0,0.0,0.0,1988.0,B01
200600007637,1.0,1,3,2,5.0,11.0,0.0,0.0,0.0,1976.0,B01
201300011358,1.0,1,4,1,5.0,21.0,0.0,0.0,0.0,1981.0,A01
200600013935,1.0,1,4,1,5.0,11.0,0.0,0.0,0.0,1955.0,B01
200700072282,1.0,1,4,1,4.0,21.0,0.0,0.0,0.0,1983.0,A01
201100017680,1.0,1,1,1,4.0,11.0,0.0,0.0,0.0,1974.0,A01
200900072491,,3,3,1,0.0,93.0,0.0,0.0,0.0,1942.0,A01
201000069056,2.0,2,4,2,5.0,11.0,0.0,0.0,0.0,1984.0,A01
201400001016,5.0,2,1,1,0.0,13.0,0.0,0.0,0.0,1980.0,A01
200600049692,1.0,1,4,2,1.0,11.0,0.0,0.0,0.0,1961.0,A01
200800003246,1.0,1,1,1,5.0,92.0,0.0,0.0,0.0,1987.0,A01
201300047920,1.0,1,4,1,5.0,11.0,0.0,0.0,0.0,1988.0,B01
200500081204,0.0,3,4,2,5.0,0.0,2.0,2.0,1.0,1936.0,A01
200500012876,1.0,1,4,2,1.0,11.0,0.0,0.0,0.0,1957.0,B02
200900035176,,3,4,1,4.0,93.0,0.0,9.0,2.0,1971.0,A01
