Num_Acc,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1
201500032272,4.0,0,,,2.0,2.0,,,3.0,1.0,1.0,0.0,114.0,1.0,4.0,1.0,0.0
201100049023,3.0,301,,,2.0,4.0,,,0.0,1.0,1.0,0.0,100.0,1.0,5.0,1.0,0.0
201100002867,2.0,12,,,2.0,2.0,75.0,900.0,0.0,1.0,1.0,0.0,84.0,1.0,0.0,3.0,0.0
201500006688,3.0,905,,,2.0,0.0,98.0,746.0,0.0,1.0,1.0,0.0,90.0,1.0,6.0,1.0,99.0
200600083458,2.0,7,0.0,,2.0,2.0,0.0,500.0,0.0,3.0,1.0,0.0,70.0,1.0,0.0,3.0,0.0
200500001404,2.0,202,0.0,,1.0,2.0,88.0,850.0,0.0,1.0,1.0,0.0,72.0,2.0,0.0,1.0,0.0
200500044537,4.0,0,0.0,,1.0,1.0,,,0.0,1.0,1.0,0.0,71.0,1.0,0.0,1.0,0.0
201200012729,1.0,26,,A,1.0,1.0,55.0,200.0,0.0,1.0,3.0,30.0,70.0,1.0,3.0,2.0,0.0
200700016824,4.0,0,0.0,,2.0,2.0,9.0,999.0,0.0,1.0,1.0,0.0,86.0,1.0,0.0,1.0,0.0
200900054677,3.0,764,,,2.0,2.0,6.0,100.0,0.0,1.0,1.0,0.0,64.0,2.0,0.0,1.0,0.0
201200001110,3.0,794,,,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,70.0,2.0,0.0,1.0,0.0
200600021254,4.0,,0.0,,1.0,1.0,1009.0,0.0,0.0,1.0,1.0,0.0,30.0,1.0,0.0,1.0,0.0
201200052092,4.0,0,,,1.0,1.0,,,0.0,1.0,1.0,0.0,42.0,1.0,0.0,1.0,3.0
200500030728,3.0,0,0.0,,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,70.0,1.0,0.0,1.0,0.0
201500032764,4.0,0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
201500044019,4.0,,,,2.0,2.0,,,0.0,2.0,2.0,,,1.0,0.0,1.0,99.0
201100016022,4.0,0,,,2.0,3.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
201100039942,4.0,0,,,2.0,2.0,,,0.0,2.0,4.0,0.0,64.0,1.0,0.0,1.0,99.0
200600066307,4.0,1,0.0,A,1.0,1.0,,,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
201200037510,3.0,1043,,,3.0,2.0,22.0,,0.0,1.0,1.0,400.0,68.0,1.0,5.0,1.0,0.0
200900074550,2.0,2,,,2.0,4.0,30.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
201100045978,3.0,110,,,2.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0
201400039409,3.0,0,,,2.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
200700026771,3.0,152,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,54.0,1.0,5.0,1.0,0.0
201400012033,2.0,43,,,3.0,4.0,46.0,201.0,0.0,2.0,1.0,11.0,42.0,1.0,0.0,1.0,0.0
200700041208,3.0,402,0.0,,2.0,2.0,0.0,0.0,0.0,1.0,1.0,10.0,60.0,1.0,5.0,1.0,0.0
200800000675,3.0,149,0.0,,2.0,2.0,88.0,300.0,0.0,1.0,1.0,0.0,60.0,0.0,0.0,3.0,0.0
200900074622,3.0,14,,,2.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,99.0
